concept,meaning,category,fullName
Recovery,교착 상태를 일으킨 프로세스를 종료하거나 교착상태의 프로세스에 할당된 자원을 선점하여 프로세스나 자원을 회복하는 것을 의미,교착 상태,
데이터 표준화,"시스템을 구성하는 데이터 요소의 명칭, 정의, 형식, 규칙에 대한 원칙을 수립하고 적용하는 것을 의미, 사용자가 데이터를 정확히 이해하고 활용할 수 있도록 용어, 항목 이름이 중복되지 않고 직관적이며 공통된 의미로 전달되도록 표준 항목명을 부여함, 데이터 표준, 관리조직, 절차를 구성요소로 갖는다",데이터 표준화,
데이터 표준,데이터 모델이나 DB에서 정의할 수 있는 모든 오브젝트를 대상으로 데이터 표준화를 수행해야함,데이터 표준화,
표준 단어,업무에서 사용하고 일정한 의미를 갖고 있는 최소 단위의 단어를 의미한다,데이터 표준화,
표준 도메인,"문자형, 숫자형, 날짜형, 시간형과 같이 컬럼의 성질에 따라 그룹핑한 개념",데이터 표준화,
표준 코드,선택할 수 있는 값을 정형화하기 위해 기준에 맞게 이미 정의된 코드 값으로 도메인의 한 유형,데이터 표준화,
표준 용어,"단어, 도메인, 코드 표준이 정의되면 이를 바탕으로 표준 용어를 구성한다.",데이터 표준화,
데이터 관리 조직,"데이터 표준 원칙이나 데이터 표준의 준수 여부 등을 관리하는 사람들로, 대표적으로 데이터 관리자가 있다.",데이터 표준화,
DA,"조직 내의 데이터에 대한 정의, 체계화, 감독 등의 업무를 담당함, 데이터 표준 관리 및 적용",데이터 표준화,Data Architecture
DBA,"데이터베이스를 관리하는 사람으로써, 데이터의 정합성 관리를 함",데이터 표준화,Database Administrator
데이터 표준화 절차,"표준화 요구사항 수집, 데이터 표준 정의, 데이터 표준 확정, 데이터 표준 관리 순으로 진행",데이터 표준화,
데이터 표준화 대상,"데이터 명칭, 데이터 정의, 데이터 형식, 데이터 규칙이 있다",데이터 표준화,
데이터 명칭,"데이터를 유일하게 구별할 수 있는 유일성, 의미 전달의 충분성, 그리고 업무적 보편성을 갖는 이름으로 정의해야한다",데이터 표준화,
데이터 정의,데이터를 제 3자 입장에서도 쉽게 이해할 수 있도록 해당 데이터가 의미하는 범위 및 자격 요건 등을 규정한다,데이터 표준화,
데이터 형식,"업무 규칙 및 사용 목적과 유사한 데이터에 대해 일관되게 데이터 형식을 정의함으로써 데이터 입력 오류, 통제 위험 등을 최소화한다",데이터 표준화,
데이터 규칙,"기본 값, 허용 값, 허용 범위 등과 같이 발생할 수 있는 데이터 값을 사전에 지정함으로써 데이터의 정합성 및 안전성을 향상시킨다",데이터 표준화,
Secure SDLC,"보안상 안전한 소프트웨어를 개발하기 위해 기존 SDLC에 보안 강화를 위한 프로세스를 포함한 것을 의미한다, SDLC 전체 단계에 걸쳐 수행되어야할 보안 활동을 제시한다",Secure SDLC,
SDLC,"소프트웨어 개발 생명주기를 의미하며, 소프트웨어 개발 방법론의 바탕이 되는 것으로, 전 과정을 각 단계별로 나눈 것",Secure SDLC,Software Development Life Cycle
CLAPS,"Secure Software 사에서 개발한 소프트웨어, SDLC 초기 단계에서 보안을 강화하기 위해 개발된 방법론, 활동 중심, 역할 기반의 프로세스로 구성되어 현재 운용중인 시스템에 적용하기 적합하다",Secure SDLC,
SDL,"마이크로소프트 사에서 안전한 소프트웨어 개발을 위해 기존의 SDLC를 개선한 방법론, 전통적인 나선형 모델을 기반으로함",Secure SDLC,
Seven Touchpoints,"소프트웨어 보안의 모범사례를 SDLC 에 통합한 방법론, 설계 및 개발 과정의 모든 산출물에 대해 위험 분석 및 테스트를 수행한다. SDLC 각 단계에 관련된 7개의 보안 강화 활동을 수행함",Secure SDLC,
기밀성,시스템 내의 정보와 자원은 인가된 사용자에게만 접근이 허용된다. 정보가 전송 중에 노출되더라도 데이터를 읽을 수 없는 보안 요소,Secure SDLC,Confidentiality
무결성,시스템 내의 정보는 오직 인가된 사용자만 수정할 수 있는 보안 요소,Secure SDLC,Integrity
가용성,인가받은 사용자는 언제라도 사용할 수 있는 보안 요소,Secure SDLC,Availability
인증,"시스템 내의 정보와 자원을 사용하려는 사용자가 합법적인 사용자인지 확인하는 모든 행위를 말하며, 대표적으로 패스워드, 인증용 카드 등이 있는 보안 요소",Secure SDLC,Authentication
부인 방지,데이터를 송∙수신한 자가 송∙수신 사실을 부인할 수 없도록 송∙수신 증거를 제공하는 보안 요소,Secure SDLC,NonRepudiation
네트워크,설계 단계에서의 보안 활동으로 외부의 사이버 공격으로부터 개발 환경을 보호하기 위해 ____를 분리하거나 방화벽을 설치한다.,Secure SDLC,
서버,"설계 단계에서의 보안 활동으로 보안이 뛰어난 운영체제를 사용하고, 보안 업데이트, 외부접속에 대한 접근 통제를 실시한다",Secure SDLC,
물리적 보안,"출입통제, 개발 공간 제한, 폐쇄회로 등의 감시 설비를 설치하는 설계 단계에서의 보안 활동",Secure SDLC,
개발 프로그램,허가되지 않은 프로그램을 통제하고 지속적인 데이터 무결성 검사를 실시한다,Secure SDLC,
표준 코딩 정의서,"코딩 시 다른 개발자나 운영자가 쉽게 접근할 수 있도록 클래스, 메소드 등의 네이밍 규칙, 주석 첨부 방식 등을 정의해 둔 문서",Secure SDLC,
소프트웨어 개발 보안 가이드,안전한 소프트웨어 개발을 위해 정부에서 제작하여 배포하고 있는 지침,Secure SDLC,
단위 테스트,프로그램의 단위 기능을 구현하는 모듈이 정해진 기능을 정확히 수행하는지 검증하는 것,Secure SDLC,
시큐어 코딩,소프트웨어 구현 단계에서 발생할 수 있는 보안 취약점들을 최소화하기 위해 보안 요소들을 고려하며 코딩하는 것을 의미함. 개발 참여자에게는 ___를 교육을 실시해야함,Secure SDLC,Secure Coding
동적 분석 도구,"프로그램을 실제 또는 가상으로 실행시킨 상황에서 메모리 분석, 보안 취약점 검색, 오류 탐지 등의 다양한 기능을 수행하는 소프트웨어",Secure SDLC,
보안 점검 내용,"소프트웨어 개발 구현 단계에서 검증해야하는 7가지, 입력 데이터 검증 및 표현, 보안 기능, 시간 및 상태, 에러처리, 코드 오류, 캡슐화, API 오용",세션 통제,
세션 통제,"서버와 클라이언트의 연결을 세션이라 함, ___ 는 세션의 연결과 연결로 인해 발생하는 정보를 관리함을 의미함, 소프트웨어 개발 과정 중 요구사항 분석 및 설계 단계에서 진단해야하는 보안 점검 내용, 불충분한 세션 관리, 잘못된 세션에 의한 정보 노출 등의 문제가 발생할 수 있음",세션 통제,Session Control
세션 ID,"서버가 클라이언트들을 구분하기 위해 부여하는 키로, 클라이언트가 서버에 요청을 보낼 때마다 세션 ID를 통해 인증이 수행된다.",세션 통제,Session Id
불충분한 세션 관리,"일정한 규칙이 존재하는 세션ID가 발급되거나 타임아웃이 너무 길게 설정되어 있어 발생할 수 있는 보안 약점, 세션 하이잭킹 같은 공격에 취약점이 발생한다",세션 통제,
세션 하이재킹,"서버에 접속하고 있는 클라이언트들의 세션 정보를 가로채는 공격 기법. 정상적인 연결 RST 패킷을 통해 종료시킨 후 재연결 시 공격자가 연결하는 방식, 공격자는 서버와 상호 간의 동기화된 시퀀스 번호를 이용하여 인가되지 않은 시스템의 기능을 이용하거나 중요한 정보에 접근할 수 있게 됨. 탐지 방법은 비동기화 상태 탐지, ACK storm 탐지, 패킷의 유실 탐지, 예상치 못한 접속의 리셋 탐지",세션 통제,Session Hijacking
ACK Storm,세션 하이재킹 과정 중에 패킷량이 비정상적으로 늘어나는 현상,세션 통제,
잘못된 세션에 의한 노출,"다중 스레드 환경에서 멤버 변수에 정보를 저장할 때 발생하는 보안 약점으로, 싱글통 패턴에서 발생하는 레이스컨디션으로 인해 동기화 오류가 발생하거나, 멤버 변수의 정보가 노출될 수 있음. 멤버 변수보단 지역 변수를 활용하여 변수의 범위를 제한함으로써 방지 가능하다",세션 통제,
다중 스레드,"프로세스 내의 작업 단위로, 시스템의 자원을 할당받아 실행하는 프로그램 단위를 스레드라고 하는데, 두 개 이상의 스레드가 생성되어 동시 처리되는 다중 작업을 지칭함.",세션 통제,Multi-Thread
멤버 변수,"객체와 연결된 변수로, 클래스 내에 선언되어 클래스의 모든 메소드들이 접근 가능한 변수, __ 필드라고도 부르며, 종류에는 클래스 변수, 인스턴스 변수가 있다.",세션 통제,Member Variable
Singlton,"하나의 객체를 생성하면 생성된 객체를 어디서든 참조할 수 있지만, 여러 프로세스가 동시에 참조할 수 없는 디자인 패턴",세션 통제,
Race Condition,두 개 이상의 프로세스가 공용 자원을 획득하기 위해 경쟁하고 있는 상태를 의미함,세션 통제,
URL Rewite,쿠키를 사용할 수 없는 환경에서 SessionID 를 전달을 위해 URL에 SessionID를 포함시키는 것,세션 통제,
입력 데이터 검증 및 표현,"입력 데이터로 인해 발생하는 문제들을 예방하기 위해 구현 단계에서 검증해야 하는 보안 점검 항목, 이를 예방하기 위해서는 소프트웨어 개발의 구현 단계에서 유효성 검증 체계를 갖추고, 검증되지 않은 데이터가 입력되는 경우 이를 처리할 수 있도록 구현해야함",입력 데이터 검증 및 표현,
언어셋,"문자를 컴퓨터에서 처리하기 위해 사용하는 코드표를 의미하며, 종류에는 ANCI, UNICODE, UTF-8 등이 있음",입력 데이터 검증 및 표현,Character Set
SQL Injection,"웹 응용 프로그램에 SQL을 삽입하여 내부 DB 서버의 데이터를 유출 및 변조하고, 관리자 인증을 우회하는 보안 약점으로, 동적 쿼리에 사용되는 입력데이터에 예약어 및 특수문자가 입력되지 않게 필터링 되도록 설정하여 방지 가능함",입력 데이터 검증 및 표현,
경로 조작 및 자원 삽입,"데이터 입출력 경로를 조작하여 서버 자원을 수정, 삭제할 수 있는 보안 약점으로, 사용자 입력값을 식별자로 사용하는 경우 경로 순회 공격을 막는 필터를 사용하여 방지 가능함",입력 데이터 검증 및 표현,
XSS,"웹페이지에 악의적인 스크립트를 삽입하여 방문자들의 정보를 탈취하거나 비정상적인 기능 수행을 유발하는 보안 약점, HTML 태그의 사용을 제한하거나 스크립트에 삽입되지 않도록 '<', '>', '&' 등의 문자를 다른 문자로 치환함으로써 방지 가능하다",입력 데이터 검증 및 표현,
운영체제 명령어 삽입,"외부 입력값을 통해 시스템 명령어의 실행을 유도함으로써 권한을 탈취하거나 시스템 장애를 유발하는 보안 약점. 웹 인터페이스를 통해 시스템 명령어가 전달되지 않도록 하고, 외부 인력값을 검증 없이 내부 명령어로 사용하지 않음으로 방지 가능하다",입력 데이터 검증 및 표현,
위험한 형식 파일 업로드,"악의적인 명령어가 포함된 스크립트 파일을 업로드함으로써 시스템에 손상을 주거나 시스템을 제어할 수 있는 보안 약점, 업로드 되는 파일의 확장자 제한, 파일명의 암호화, 웹사이트와 파일 서버의 경로를 분리, 실행 속성을 제거하는 등의 방법으로 방지 가능함",입력 데이터 검증 및 표현,
신뢰되지 않는 URL 주소로 자동 접속 연결,"입력 값으로 사이트 주소를 받는 경우 이를 조작하여 방문자를 피싱 사이트로 유도하는 보안 약점, 화이트 리스트로 외부 사이트를 관리함으로써 방지한다.",입력 데이터 검증 및 표현,
메모리 버퍼 오버플로,"연속된 메모리 공간을 사용하는 프로그램에서 할당된 메모리의 범위를 넘어선 위치에서 자료를 읽거나 쓰려고 할 때 발생하는 보안 약점, 프로그램의 오동작을 유발시키거나, 악의적인 코드를 실행시켜 공격자가 프로그램을 통제할 수 있는 권한을 획득하게 됨, 메모리 버퍼를 사용할 경우 버퍼 사이즈를 적절하게 설정하고, 설정된 범위의 메모리 내에서 읽고 쓰게 함으로 방지 가능하다",입력 데이터 검증 및 표현,
XQuery injection,"XML 문서의 검색과 생성을 위한 서버 사이드 솔루션, XML 문서를 생성할 수 있는 XML기술로, ___ injection을 통해 서버 내 정보를 허가를 우회하여 데이터를 조회하거나 인증 절차를 무시할 수 있게됨",입력 데이터 검증 및 표현,
XPath injection,XML 구조에 악의적인 쿼리를 삽입하여 정보를 탈취하는 공격,입력 데이터 검증 및 표현,
LDAP/포맷 스트링 삽입,"SQL injection 과 비슷한 개념으로, TCP/IP 위에서 Directory Service를 조회하고 수정하는 Application Protocol에서 Command Line 처럼 위장하여 인가를 얻어내는 공격으로 Escape 문자를 사용하여 방지 가능하다",입력 데이터 검증 및 표현,
크로스사이트 요청 위조,"인증된 사용자가 웹 애플리케이션에 특정 요청을 보내도록 유도하는 공격 행위로 악의적인 스크립트를 인증된 사용자가 실행하도록 유도하는 방식, CSRF 토큰을 보내어 요청이 사용자가 전송한 것이 맞는지 확인하거나 재인증을 요구하는 등의 조치를 취함",입력 데이터 검증 및 표현,
HTTP 응답 분할,"Response parameter 로 전달되는 내용 중에, 개행문자가 포함되어 있을 경우, 공격자가 악의적으로 삽입한 응답이 실행되도록 유도하는 방식, 개행문자에 대해 제거 또는 치환을 통해 방어 가능하다",입력 데이터 검증 및 표현,
정수형/메모리 버퍼 오버플로우,"버퍼 오버플로우 공격이라고도 함, 프로그램이 함수를 호출 할 때, 지역 변수와 복귀주소를 스택구조로 메모리에 저장하는데, 지역변수 데이터의 사이즈를 크게 늘려서, 복귀 주소 영역을 침범하게됨. 이에 따라 함수는 복귀하지 못하고 다른 메모리 영역을 참조하려고 하면서, OS에 의해 비정상적인 종료를 당하는 공격 기법",입력 데이터 검증 및 표현,
보안기능 결정,"응용프로그램의 외부입력 값에 대해 신뢰를 바탕으로 한 보호메커니즘을 가질 경우, 공격자는 입력 값을 임의로 조작하여 쿠키, 환경 변수, 히든 필드 등의 입력 값을 이용해 인증을 우회하거나 데이터를 탈취하는 방식으로, 서버에 저장된 신뢰된 값을 조회하여 사용하는 것으로 방어할 수 있다.",입력 데이터 검증 및 표현,
보안 기능,"소프트웨어 개발의 구현단계에서 코딩하는 기능인 인증, 접근 제어, 기밀성, 암호화를 올바르게 구현하기 위한 점검 항목들로, 사용자의 인증에 관한 기능, 개인정보 암호화 기술 등의 내용이다",보안 기능,
적절한 인증 없이 중요기능 허용,"보안검사를 우회하여 인증과정 없이 중요한 정보 또는 기능에 접근 및 변경이 가능한 보안 약점, 중요 정보 기능을 수행하는 페이지에서는 재인증 기능을 수행하도록 하여 방지한다",보안 기능,
부적절한 인가,"접근제어 기능이 없는 실행 경로를 통해 정보 또는 권한을 탈취할 수 있는 보안 약점, 모든 실행 경로에 접근 제어 검사를 수행하고, 사용자에게는 반드시 필요한 접근 권한만을 부여한다",보안 기능,
중요한 자원에 대한 잘못된 권한 부여,"권한 설정이 잘못된 자원에 접근하여 해당 자원을 임의로 사용할 수 있게한 보안 약점, 소프트웨어 관리자만 자원들을 읽고 쓸수 있도록 설정하고, 인가되지 않은 사용자들의 중요 자원에 대한 접근 여부를 검사함으로써 방지할 수 있음",보안 기능,
취약한 암호화 알고리즘 사용,"암호화된 환경설정 파일을 해독하여 비밀번호 등의 중요 정보를 탈취하는 보안 약점, 보안인증사무국이 인정성을 확인한 암호 모듈을 사용하여 방지 가능하다",보안 기능,
중요 정보 평문 저장 및 전송,"암호화되지 않은 평문 데이터를 탈취하여 중요 정보를 획득하게 되는 보안 약점, 중요 정보에 대해서는 반드시 암호화 과정을 거치고 통신할 경우 HTTPS, SSH 같은 보안 채널을 이용함으로써 방지할 수 있다.",보안 기능,
하드코드된 비밀번호,"소스 코드 유출 시 내부에 하드코드된 패스워드를 이용하여 권리자 권한을 탈취하는 보안 약점, 패스워드 암호에 대해선 별도의 파일에 저장하고, 디폴트 패스워드나 디폴트 키의 사용을 피함으로써 방지 가능함",보안 기능,
IT 보안인증사무국,정보보호제품의 평가 인증을 수행하고 인증제품 목록을 공개 및 관리하는 국가보안기술 연구소 산하의 인증기관,보안 기능,
시간 및 상태,"동시 수행을 지원하는 병렬 처리 시스템이나 다수의 프로세스가 동작하는 환경에서 ___ 상태를 관리하여 시스템이 원활하게 동작되도록 하기 위한 보안 검증 항목, TOCTOU 경쟁 조건, 종료되지 않는 반복문, 재귀함수 등이 있다.",시간 및 상태,
TOCTOU,"검사시점과 사용시점을 고려하지 않고 코딩하는 경우 발생하는 보안 약점으로, 검사 시점에는 사용 가능했던 자원이 사용 시점에는 사용할 수 없게 된 경우에 발생함. 동기화 오류나 교착 상태 등이 발생 가능하다. 코드 내 동기화 구문을 사용하여 해당 자원에는 한 번에 하나의 프로세스만 접근하도록 구성함으로써 방지할 수 있음",시간 및 상태,Time Of Check Time Of User
종료되지 않는 반복문 또는 재귀함수,"종료 조건을 정의하지 않았거나, 논리 구조상 종료될 수 없는 경우 발생하는 보안 약점이다. 시스템 자원을 끊임없이 사용하여 고갈로 인한 서비스 장애 또는 시스템 장애가 발생하므로, 모든 반복 또는 재귀 함수에 대해 수행 횟수를 제한하거나, 종료 조건을 점검하여 방지 가능함",시간 및 상태,
에러처리,"소프트웨어 실행 중 발생할 수 있는 ___ 들을 사전에 정의하여 오류로 인해 발생할 수 있는 문제들을 예방하기 위한 보안 점검 항목, 중요 정보를 노출시키거나, 소프트웨어 실행이 중단되는 등의 예기치 못한 문제를 발생가능하다.",에러처리,
오류 메시지를 통한 정보 노출,"오류 발생으로 실행 환경, 사용자 정보, 디버깅 정보 등의 중요 정보를 소프트웨어가 메시지로 외부에 노출하는 보안 약점이다. 오류 메시지를 통해 노출되는 경로 및 디버깅 정보는 공격자에게 취약점을 제공할 수 있어 스택 트레이스가 노출되지 않게 하고, 사전에 준비된 메시지로 출력되도록 한다.",에러처리,
오류 상황 대응 부재,"예외 처리를 하지 않았거나 미비로 인해 발생하는 보안 약점으로, 소프트웨어 실행이 중단되거나 의도를 벗어난 동작으로 유도할 수 있다. 오류가 발생할 수 있는 부분에 대해 예외처리 구문을 작성하고, 제어문을 활용해 오류가 악용되지 않도록 코딩함으로써 방지 가능함",에러처리,
부적절한 예외처리,"함수의 변환값 또는 오류들을 세분화하여 처리하지 않고 광범위하게 묶어 한 번에 처리하거나 누락된 예외가 존재할 때 발생하는 보안 약점이다. 모든 오류들을 세세하게 정의하여 처리할 필욘 없으나, 광범위하게 오류 처리를 할 경우 예기치 않은 문제가 발생할 수 있다. 모든 함수의 반환 값이 의도대로 출력되는지 확인하고, 세분화된 예외처리를 수행함으로써 방지할 수 있다.",에러처리,
코드 오류,"소프트웨어 구현 단계에서 개발자들이 코딩 중 실수하기 쉬운 Type 변환, 자원 반환 등의 오류를 예방하기 위한 보안 점검 항목, Null pointer back-reference, 부적절한 자원 해제, 해제된 자원 사용, 초기화되지 않은 변수들의 사용 등이 있다.",코드 오류,
Null Pointer back-reference,"널 포인터가 가리키는 메모리에 어떠한 값을 저장할 때 발생하는 보안 약점으로, 대부분의 운영체제는 널 포인터를 메모리의 첫 주소를 가리키고 있으나, 해당 주소를 참조할 경우 소프트웨어가 비정상적으로 종료될 수 있다. 이에 따라 공격자가 예외 상황을 유발시킬 수 있어 Null check를 통해 방지할 수 있다. (예, 0x00000000을 참조)",코드 오류,
스택 가드,"널 포인터 역참조와 같이 주소가 저장되는 스택에서 발생하는 보안 약점을 막는 기술 중 하나로, 복귀 주소와 변수 사이에 특정 값을 저장한 후 그 값이 변경되었을 경우, 오버플로우 상태로 판단하여 프로그램을 중단함으로써 잘못된 복귀 주소의 호출을 막는 기술",코드 오류,Stack guard
부적절한 자원 해제,"자원을 반환하는 코드를 누락하거나 프로그램 오류로 할당된 자원을 반환받지 못했을 때 발생하는 보안 약점, 자원 반환 코드가 누락되었는지 확인하고, 오류로 인해 함수가 중간에 종료되었을 때, 예외처리와 관계없이 자원이 반환되도록 코딩함으로써 방지 가능함",코드 오류,
해제된 자원 사용,"이미 사용이 종료되어 반환된 메모리를 참조하는 경우 발생하는 보안 약점으로, 예상하지 못한 값 또는 코드를 수행하게 되어 의도치 않은 결과가 발생할 수 있음",코드 오류,
초기화되지 않은 변수 사용,"값이 부여되지 않은 변수를 사용할 때 발생하는 보안 약점으로, 변수가 외부에 노출되어있는 경우 중요 정보가 악용될 수 있다. 이에 따라 변수 선언 시 할당된 메모리를 초기화함으로써 방지 가능하다",코드 오류,
힙 메모리,소프트웨어가 자유롭게 사용할 수 있는 메모리 공간,코드 오류,
캡슐화,"정보 은닉이 필요한 중요한 데이터와 기능을 불충분하게 캡슐화하거나 잘못 사용함으로써 발생할 수 있는 문제를 예방하기 위한 보안 점검 항목, 잘못된 세션에 의한 정보 노출, 제거되지 않고 남은 디버그 코드, 시스템 데이터 정보 노출 등이 있다.",캡슐화,
잘못된 세션에 의한 정보 노출,"다중 스레드 환경에서 멤버 변수에 정보를 저장할 때 발생하는 보안 약점으로, 싱글통 패턴에서 발생하는 레이스 컨디션으로 인해 동기화 오류가 발생하거나, 멤버 변수의 정보가 노출될 수 있다. 멤버 변수를 사용하기 보단, 지역 변수를 활용하여 변수의 범위를 제한할 수 있다.",캡슐화,
제거되지 않고 남은 디버그 모드,"개발 중에 버그 수정이나 결과값 확인을 위해 남겨둔 코드들로 인해 발생하는 보안 약점으로, 소프트웨어 제어에 사용되는 중요한 정보나 구조가 노출될 수 있다. 배포 전 코드 검사를 통해 남아있는 디버그 코드들을 삭제함으로써 방지가능함",캡슐화,
시스템 데이터 정보 노출,"시스템의 내부 정보를 시스템 메시지 등을 통해 외부로 출력하도록 코딩했을 때 발생하는 보안 약점, 시스템 메시지를 통해 노출되는 메시지는 최소한의 정보만을 제공함으로써 방지한다.",캡슐화,
Public 메소드로부터 반환된 Private 배열,선언된 클래스 내에서만 접근이 가능한 Private 배열을 모든 클래스에서 접근이 가능한 Public method 에서 반환할 때 발생하는 보안 약점이다. 동일한 형태의 복제본으로 반환 받은 후 값을 전달하거나 별도의 메소드를 통해 조작한다,캡슐화,
Private 배열에 Public 데이터 할당,"Private 배열에 Public 으로 선언된 데이터 또는 메소드 파라미터를 저장할 때 발생하느 보안 약점으로, 레퍼런스가 아닌 값을 직접 저장함으로써 방지할 수 있다.",캡슐화,
API 오용,소프트웨어 구현 단계에서 API를 잘못 사용하거나 보안에 취약한 API를 사용하지 않도록 하기 위한 보안 검증 항목이다.,API 오용,
DNS Lookup에 의존한 보안 결정,"도메인명에 의존하여 인증이나 접근 통제 등의 보안 결정을 내리는 경우 발생하는 보안 약점이다. DNS 엔트리를 속여 동일한 도메인에 속한 서버인 것처럼 위장하거나, 사용자와 서버 간의 네트워크 트래픽을 유도하여 악성 사이트를 경유하도록 조작할 수 있음, DNS  검색을 통해 도메인 이름을 비교하지 않고 IP 주소를 직접 입력하여 접근함으로써 방지할 수 있다.",API 오용,
취약한 API 사용,"보안 문제로 사용이 금지된 API를 사용하거나 잘못된 방식으로 API를 사용했을 때 발생하는 API 보안 약점이다. 대표적으로 strcat(), strcpy(), strintf() 가 있다. 보안 상 안전한 API라도, 자원에 대한 직접 연결이나, 네트워크 소켓을 통한 직접 호출과 같이 보안에 위협을 줄 수 있는 인터페이스를 사용하는 경우 보안 약점에 노출된다.",API 오용,
암호 알고리즘,"패스워드, 주민번호, 은행계좌와 같은 중요정보를 보호하기 위해 평문을 암호화된 문장으로 만드는 절차 또는 방법을 의미함",암호 알고리즘,
개인키 암호화 기법,"동일한 키로 데이터를 암호화하고 복호화한다. 암호화 대상이 n 개일 때 사용되는 키의 개수는 n(n-1)/2이다. 대칭 암호 기법 또는 비밀키 암호화 기법이라고도 함. block type :DES, SEED, AES, ARIA, IDEA 가 있음, stream type : LFSR, RC4 가 있음, 사용자가 증가할수록 관리해야할 키의 수가 상대적으로 많아지는 단점 있다.",암호 알고리즘,
공개키 암호화 기법,"데이터를 암호화할 때 사용하는 공개키는 데이터베이스 사용자에게 공개하고, 복호화할 때의 비밀키는 관리자가 비밀리에 관리한다.  비대칭 암호기법이라고도 하며, RSA기법이 대표적이다. 속도가 느리고, 알고리즘이 복잡하고 용량이 크지만, 키 분배와 개수 관리가 용이하다",암호 알고리즘,
X 509 방식,인증기관에서 발생하는 인증서를 기반으로 상호 인증을 제공하는 공개키 기반 구조,암호 알고리즘,
non X 509 방식,"국가별, 지역별로 맞게 보완 개발한 공개키 기반 구조",암호 알고리즘,
NBS,미국 표준 기술 연구소의 과거 이름,암호 알고리즘,National Bureau of Standards
SEED,"1999년 한국인터넷진흥원에서 개발한 블록 암호화 알고리즘, 블록 크기는 128비트이며, 키 길이에 따라 128, 256으로 분류함",암호 알고리즘,
ARIA,"2004년 국가정보원과 산학연협회가 개발한 블록 암호화 알고리즘, 학계, 연구기관, 정부의 앞글자를 따 구성한 것, 블록은 128bit, 키 길이에 따라 128, 192, 256으로 분류한다",암호 알고리즘,Academy Research Institute Agency
DES,"1975년 미국 NBS에서 발표한 개인키 암호화 알고리즘으로 DES 를 3번 적용하여 보안을 강화한 3___도 있음, 블록 크기는 64비트, 키 길이는 56비트이다",암호 알고리즘,Data encryptyion Standard
AES,"2001년 미국 표준 기술 연구소에서 발표한 개인키 암호화 알고리즘, DES의 한계를 느낀 NIST에서 공모한 후 발표함, 128비트의 블록 크기로 키 길이에 따라 128, 192, 256으로 분류함",암호 알고리즘,Advanced Encryption Standard
RSA,"1978년 MIT의 라이베스트, 샤미르, 애들먼에 의해 제안된 공개키 암호화 알고리즘으로, 큰 숫자를 소인수분해하기 어렵다는 것을 기반으로 만들었다.",암호 알고리즘,Rivest Sharmir Adleman
Hash,임의의 길이의 입력 데이터나 메시지를 고정된 길이의 값이나 키로 변환하는 것을 의미한다. 무결성 검증을 위해 사용될 뿐만 아니라 정보보호의 다양한 분야에서 활용된다. 복호화가 거의 불가능한 일방향 함수에 해당함,암호 알고리즘,
SHA series,"1993년 미국 국가안보국이 처음 설계했으며, 미국 국립표준기술연구소에서 발표함",암호 알고리즘,
MD5,"1991년 R,Rivest가 MD4를 대체하기 위해 고안한 암호화 해시 함수, 블록 크기는 512비트, 키 길이는 128비트이다",암호 알고리즘,
N-NASH,"1989년 일본 전신전화주식회사에서 발표한 암호화 해시 함수, 블록 크기와 키 길이가 모두 128비트이다",암호 알고리즘,
SNEFRU,"1990년 R.C.Merkle가 발표한 해시 함수, 32비트 프로세서에서 구현을 용이하게할 목적으로 개발함",암호 알고리즘,
Salt,"둘 이상의 계정에 대해 패스워드를 'qwer1234'라고 지정하고 같은 암호화 알고리즘을 적용하면 결과도 마찬가지로 동일함, 이 경우 공격자가 나타나면 하나의 암호만 해제해도 둘 이상의 계정을 덕게 되므로, 원문에 무작위 값을 덧붙이는 과정을 수행하게 되는데 이때 덧붙이는 값을 부르는 말이다. ",암호 알고리즘,
서비스 공격 유형,"표적이 되는 서버의 자원을 고갈시킬 목적으로 다수의 공격자 또는 시스템이 대량의 데이터를 한 곳의 서버에 집중적으로 전송함으로써, 표적이 되는 서버의 정상적인 기능을 방해하는 것, Ping of Death, SMURFING, SYN Flooding, TearDrop, Land, DDoS 등이 있다",서비스 공격 유형,
Ping of Death,"명령을 전송할 때 패킷의 크기를 인터넷 프로토콜 허용 범위 이상으로 전송하여 공격 대상의 네트워크를 마비시키는 서비스 거부 공격 방법이다. 큰 패킷은 수백 개의 패킷으로 분할되어 전송되는데, 공격 대상은 분할된 대량의 패킷을 수신함으로써 전송된 패킷을 재조립해야하는 부담과 분할되어 전송된 각가의 패킷들의 ICMP Ping 메시지 응답을 처리하느라 시스템이 다운된다. 방화벽에서 차단하여 방어한다",서비스 공격 유형,
ICMP Ping message,"특정 IP로 패킷이 전송될 때 해당 IP의 노드가 현재 운영 중인지 확인을 요청하는 메세지로, 이를 수신한 노드가 운영중이라면 Ping 메시지에 대한 응답으로 에코 응답 메세지를 전송한다.",서비스 공격 유형,
